toxic_sentence,non_toxic_sentence,lang
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),еврейское тв пересмотрел???,ru
завтра в хабаровске вдвшники будут разгонять быдло,Завтра в хабаровске вдвшники будут разгонять нарушителей,ru
"эта походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.","Это старое фото, в середине мэр орши лисовский.",ru
а что рядом других что мужиков рядом не оказалось??? кто этому ублюдку табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............,А что рядом других мужчин не оказалось? Кто ему лицо на чистил? Вывод? Мужики к сожалению перевелись,ru
"хули вы бляди клянчите классы ,просто помните.","хватит выпрашивать классы, просто помните.",ru
веселись сегодня ептить удручённый ты наш:-d,"Веселись сегодня, удрученный ты наш)))",ru
твари награждают себя. кто пойдет за них воевать. сам и путин.,Глупые награждают себя. кто пойдёт за них воевать. сам и путин.,ru
"мразота,больше ни хуя делать не умеют,кроме как обижать слабых и беззащитных","Больше ничего не умеют делать, кроме как обижать слабых и беззащитных",ru
таких тварей только могила исправит.,Этих людей ничего не исправит,ru
"садисты. таких родителей необходимо найти и наказать, однозначно.","Таких родителей необходимо найти и наказать, однозначно.",ru
"Пруфы засирания тредов , к примеру","доказательства оскорбления тредов, к примеру",ru
стоит ли уделять внимание каждому пидарасу,стоит ли уделять внимание каждому плохому человеку,ru
мишустик ты бы пасть свою поганую закрыл,Мишустик ты бы замолчал,ru
вы что хотите что бы ваши дети в будущем в дерьме жили?,вы что хотите что бы ваши дети в будущем в плохих условиях жили?,ru
этих уродов надо всех сократить.,этих людей надо всех сократить.,ru
"точно,сука урод, и это мягко сказано,уже в каждую спортивную передачу лезет,приходится искать каналы и репортажи без его рожи и участия !","точно, нехороший человек, и это мягко сказано, уже в каждую спортивную передачу лезет, приходится искать каналы и репортажи без его присутствия и участия !",ru
"Вы же за полный разрыв отношений с ахрессором, тогда нахуй вы хотите транзита?","Вы же за полный разрыв отношений с агрессором, тогда зачем вы хотите транзита",ru
?так хоть кто то по обочине бы ехал.а так все как дебилы встали...дальнобои порою ахуевают...,?так хоть кто то по обочине бы ехал.а так все как ненормальные встали...дальнобои порою в шоке...,ru
"курва галичанская , приехала в одессу со своим уставом !","глупышка, приехала в одессу со своим уставом !",ru
Там написано он попросил и убедился тупица ты значит они повернулись уже,Там написано он попросил и убедился значит они повернулись уже,ru
дурдом ромашка..нету на сегоднейший день нормальных мужчин ....то гейтр пидораз то урод вот такой ..,Нет на сегодняшний день нормальных мужчин,ru
"ебливая группа одна реклама, пидлры продажные..",что за группа одна реклама..,ru
"пиздуйте с проекта, на вас смотреть уже противно, из-за вас не хочется смотреть дом 2",Уходите с проекта на вас смотреть уже противно из за вас дом 2 смотреть не хочется,ru
и стабильные закоренелые долбоебы восхваляют все это,и стабильные закоренелые люди восхваляют все это,ru
"это пипец! грех какой! гореть им в аду , вандалы!",Это пипец! Грех какой!,ru
ебануться можно!!! кокаин был не свежий!..,Я поражен. Кокаин был не свежий?,ru
"ублюдкам бабушкина квартира нужна, вот и хотят свести в могилу и остаться не причём падлы!!!",им бабушкина квартира нужна вот и хотят свести в могилу и остаться не причём,ru
ты рф живешь и грязтю россию полеваеш.хуйло,ты рф живешь и грязью россию полеваеш.,ru
Нехуй засирать города ненужным старьём.,Не нужно портить города ненужным старьём.,ru
пиздуй нахуй за любую границу и там прояви себя.,уезжай за любую границу и там прояви себя.,ru
"не уважаю мужиков , которые обещают и не выполняют, одним словом пиздабол","Не уважаю мужиков, которые обещают и не выполняют, одним словом не мужик",ru
если эта тухлодырая овечка своим обдолбаным небольшим от природы мозгом нихуя непомнит торчек обоссаный то это его неосвобождает от параши,"Если этот человек ничего не помнит, то это его не освобождает от ответственности",ru
